Country ISO2 code,Country Name,abaca,agave,alfalfa,almond,aniseetc,apple,apricot,areca,artichoke,asparagus,avocado,bambara,banana,barley,bean,beetfor,berrynes,blueberry,brazil,broadbean,buckwheat,cabbage,cabbagefor,canaryseed,carob,carrot,carrotfor,cashew,cashewapple,cassava,castor,cauliflower,cerealnes,cherry,chestnut,chickpea,chicory,chilleetc,cinnamon,citrusnes,clove,clover,cocoa,coconut,coffee,cotton,cowpea,cranberry,cucumberetc,currant,date,eggplant,fibrenes,fig,flax,fonio,fornes,fruitnes,garlic,ginger,gooseberry,grape,grapefruitetc,grassnes,greenbean,greenbroadbean,greencorn,greenonion,greenpea,groundnut,hazelnut,hemp,hempseed,hop,jute,jutelikefiber,kapokfiber,kapokseed,karite,kiwi,kolanut,legumenes,lemonlime,lentil,lettuce,linseed,lupin,maize,maizefor,mango,mate,melonetc,melonseed,millet,mixedgrain,mixedgrass,mushroom,mustard,nutmeg,nutnes,oats,oilpalm,oilseedfor,oilseednes,okra,olive,onion,orange,papaya,pea,peachetc,pear,pepper,peppermint,persimmon,pigeonpea,pimento,pineapple,pistachio,plantain,plum,popcorn,poppy,potato,pulsenes,pumpkinetc,pyrethrum,quince,quinoa,ramie,rapeseed,rasberry,rice,rootnes,rubber,rye,ryefor,safflower,sesame,sisal,sorghum,sorghumfor,sourcherry,soybean,spicenes,spinach,stonefruitnes,strawberry,stringbean,sugarbeet,sugarcane,sugarnes,sunflower,swedefor,sweetpotato,tangetc,taro,tea,tobacco,tomato,triticale,tropicalnes,tung,turnipfor,vanilla,vegetablenes,vegfor,vetch,walnut,watermelon,wheat,yam,yautia
AF,AFG;   4: Afghanistan > Afghanistan,0.0,0.0,48.60991668701172,5929.9326171875,1170.9576416015625,8699.35546875,5673.03271484375,0.0,0.04628694802522659,0.04061047360301018,0.0,0.0,6.32962703704834,90825.6015625,39.40967559814453,0.8690677881240845,826.6898193359375,0.0,0.0,2.3631982803344727,0.2808515429496765,19.123249053955078,0.0,0.0,0.0,16.18364143371582,0.0,0.0,0.0,0.0,0.5040978193283081,1.5599311590194702,2.136263132095337,3.8065152168273926,0.0,3.085791826248169,0.0,0.3833109438419342,0.0,36.520225524902344,0.0,0.0,0.0,0.0,0.0,55179.328125,0.0,0.0,18.547870635986328,0.0,28.140111923217773,1.5787614583969116,0.0,359.80340576171875,0.0,0.0,135.61708068847656,3039.787109375,3.1460468769073486,0.0,0.0,28279.060546875,0.18615634739398956,81.45166015625,0.5158202052116394,0.11921724677085876,0.0,0.0,1.6266613006591797,16.69162940979004,3.074948787689209,0.0,0.0,0.0,0.8648115396499634,0.258908748626709,0.0,0.0,0.0,0.07313361763954163,0.0,0.0,6.862455368041992,23.1109561920166,0.2078372836112976,8396.3359375,0.0,140294.953125,159.0123291015625,13.865138053894043,0.0,14359.248046875,0.0,1579.5662841796875,0.0,344.4703674316406,0.0,0.0,0.0,538.1527099609375,1.5361130237579346,0.0,0.0,0.12505093216896057,1.8495608568191528,2134.0703125,7563.8232421875,282.9855651855469,0.09630952775478363,2776.487060546875,2338.55810546875,455.5892028808594,0.12226961553096771,0.0,0.0,0.0,11.296134948730469,0.0,271.809326171875,0.0,1149.3035888671875,0.0,0.0,50059.08203125,57087.37890625,7.279629230499268,0.0,0.47248193621635437,0.0,0.0,113.89237213134766,0.0,147461.703125,3.679837942123413,0.0,1.8559136390686035,0.0,8.832846641540527,21926.744140625,0.0,3.2036335468292236,0.0,1.1820383071899414,0.17808972299098969,1025.600341796875,1.0308942794799805,454.19317626953125,0.3289260268211365,0.0,375.125244140625,1563.875,0.0,240.50277709960938,0.0,1.0734294652938843,11.08304500579834,0.0,2.9489262104034424,0.42784491181373596,84.82772827148438,0.0,8.851434707641602,0.0,0.0,0.0,45.24927520751953,155793.8125,0.0,728.0411376953125,21568.115234375,2625567.5,1.7319462299346924,0.0
AL,ALB;   8: Albania > Albania,0.0,0.0,1077.8878173828125,18.216360092163086,0.1911693811416626,4217.8935546875,346.5013427734375,0.0,1.3673341274261475,3.3457322120666504,0.1290743201971054,0.0,0.011623479425907135,3626.052490234375,13347.322265625,2.8144590854644775,0.1847166121006012,0.0,0.0,162.30990600585938,0.0,1308.5947265625,0.0,0.0,5.322997093200684,301.7273254394531,0.0,0.0,0.0,0.0,0.0,206.08731079101562,0.0,2134.84521484375,2036.283447265625,0.0731649398803711,0.06988732516765594,2400.80322265625,0.0,0.7349731922149658,0.0,30.172760009765625,0.0,0.0,0.0,732.1062622070312,1.7608697414398193,0.0,1516.65478515625,0.0,0.0,665.4891967773438,0.0,1645.9892578125,0.062273625284433365,0.0,0.0,84.70655822753906,880.1900634765625,0.0,0.0,9110.7939453125,0.14091147482395172,66.37359619140625,918.9646606445312,20.879838943481445,1063.68505859375,1175.9166259765625,361.21435546875,0.23557698726654053,0.7870036363601685,0.02027447149157524,0.020228395238518715,2068.770263671875,0.0,0.0,0.0,0.0,0.0,1.7584317922592163,0.0,72.43169403076172,413.71124267578125,0.09741762280464172,878.4012451171875,0.0,0.13399328291416168,56395.6015625,10077.92578125,0.0,0.0,984.8267822265625,0.7004168033599854,0.014507158659398556,0.24585533142089844,0.0,0.0,0.0,0.0,1060.125,13244.26953125,0.0,0.0,0.0,0.0,43691.390625,3481.7431640625,245.7784881591797,0.0,4.837301254272461,1132.7325439453125,755.7349243164062,0.0,0.0,0.0,0.0,0.941514790058136,0.0,2.2667758464813232,0.0,2593.11376953125,0.0,0.722753643989563,9640.5693359375,1125.0970458984375,432.73291015625,0.0,810.0786743164062,0.0,0.0,0.2118106484413147,3.3967652320861816,0.04628349095582962,0.0,0.0,1278.4261474609375,0.0,0.0,0.036776382476091385,0.0,0.0,0.287053644657135,3129.51025390625,177.0255889892578,402.94921875,884.6115112304688,0.43401458859443665,96.09182739257812,0.0,857.1185302734375,0.0,0.0,549.7730712890625,0.0,0.018459582701325417,596.2868041992188,0.0,2.9500820636749268,775.427978515625,6702.9580078125,0.0,0.0,0.0,0.0,0.0,11224.8671875,1839.1497802734375,6379.04443359375,12.702817916870117,3728.39599609375,54855.171875,0.0,0.0
DZ,DZA;  12: Algeria > Algeria,0.0,0.0,3926.710205078125,33988.08203125,35.737083435058594,31961.6640625,29109.552734375,0.0,5674.671875,0.078509621322155,0.3678314685821533,0.0,10.074344635009766,979296.0625,1932.1915283203125,179.86102294921875,0.04944654181599617,0.0,0.0,39476.359375,0.0,3957.38671875,0.0,0.0,748.7872314453125,16616.498046875,0.0,0.0,0.0,0.0,0.05532698705792427,8446.841796875,87.50363159179688,3468.340576171875,0.0,35869.2421875,0.0,21714.9921875,0.0,382.1373291015625,0.0,2725.376220703125,0.0,0.0,0.0,294.2122497558594,0.0,0.0,4354.7802734375,0.0,113752.03125,5962.62890625,0.0,37053.1953125,0.0,0.0,83937.8515625,12484.486328125,11465.92578125,0.0,0.0,66326.1953125,74.26187133789062,0.0,12259.8798828125,20353.84765625,0.0,29.58354377746582,37834.8671875,4446.94921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3917.208251953125,13916.154296875,1.721024751663208,5.144749641418457,6.135221004486084,483.447021484375,3483.760498046875,0.0,0.0,14.155407905578613,0.0,0.11622315645217896,0.0,167.89944458007812,0.0,0.0,0.0,0.0,60464.48046875,0.0,0.0,0.0412616990506649,0.0,395826.5625,47844.4375,44611.53515625,0.0,9399.4970703125,16434.1484375,19578.107421875,0.0,0.801120400428772,0.0,0.0,3591.50537109375,0.0,14.472558975219727,0.0,12387.8603515625,0.0,0.0,142777.3125,115.03560638427734,14966.9541015625,0.0,1568.708251953125,0.0,0.0,11659.9736328125,0.0,169.6513214111328,0.0,0.0,0.7006772756576538,55204.890625,0.0,0.6022742390632629,0.7403939366340637,67.50173950195312,0.0,0.0,0.3337092399597168,6.031782150268555,2.3888087272644043,2196.3291015625,1.3747837543487549,2.297318696975708,0.048101022839546204,3.9452126026153564,0.0,185.9046630859375,0.0,0.19208009541034698,14058.55078125,0.0,0.0,5218.07568359375,25976.796875,228.64256286621094,22.93617820739746,0.0,0.0,0.0,26950.076171875,58465.20703125,159.19891357421875,1.6831309795379639,57544.5859375,1839838.0,0.0,0.0
AD,AND;  20: Andorra > Andorra,0.0,0.0,1.746640682220459,2.281222105026245,0.0,0.346633642911911,0.12177582830190659,0.0,0.1000727191567421,0.07016080617904663,0.023158295080065727,0.0,0.06042725220322609,7.97947883605957,0.06457028537988663,0.06615985929965973,0.0,0.0,0.0,0.17132318019866943,0.0446908175945282,0.05547761917114258,0.10679881274700165,0.0,0.23597916960716248,0.05904100090265274,0.0,0.0,0.0,0.0,0.0,0.16865113377571106,0.0,0.13472428917884827,0.019602730870246887,0.3140857517719269,0.0,0.08285024762153625,0.0,0.0,0.0,0.1167222112417221,0.0,0.0,0.0,0.0,0.0,0.0,0.01971227303147316,0.0,0.0,0.011493152007460594,0.0,0.0720822885632515,0.040177732706069946,0.0,0.0,0.04252074658870697,0.08644809573888779,0.0,0.0,2.981882095336914,0.0,2.4310731887817383,0.08820876479148865,0.02179623581469059,0.06310322880744934,0.0,0.11351071298122406,0.0,0.09135417640209198,0.03918454051017761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4510073661804199,0.16567903757095337,0.09971605986356735,0.17676199972629547,0.22370988130569458,0.0679551362991333,7.66179084777832,4.074538230895996,0.0,0.0,0.1887466311454773,0.0,0.0,0.269794762134552,4.7493205070495605,0.0,0.0,0.0,0.0,1.8926223516464233,0.0,0.09062971919775009,0.0,0.0,3.3215279579162598,0.09596744179725647,0.4783289432525635,0.0,1.4186359643936157,0.3141019940376282,0.1697946935892105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11836209893226624,0.0,0.029268596321344376,0.11801247298717499,0.3652951717376709,0.015269001014530659,0.0,0.0,0.0,0.0,0.9281325340270996,0.0,0.024445494636893272,0.0,0.0,0.06027531251311302,2.0124669075012207,0.0,0.0,0.0,0.1930888146162033,0.04697445034980774,0.0,1.6120176315307617,0.0,0.0,0.0,0.026122571900486946,0.0952497348189354,0.0,0.0,0.0,5.495607852935791,0.0,0.0,0.39482581615448,0.0,0.0,0.04525133967399597,0.23177501559257507,0.7614139318466187,0.0,0.0,0.02469729818403721,0.0,0.6399696469306946,0.08815987408161163,0.6658722162246704,0.0342770516872406,0.06663341820240021,10.984294891357422,0.0,0.0
AO,AGO;  24: Angola > Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.149630069732666,25.787473678588867,155031.625,0.023730646818876266,904199.875,0.0,0.0,0.0,0.0,0.0,0.0,63464.9921875,0.0,0.0,0.0,0.0,0.0,2631.349365234375,0.0,915924.625,15907.5390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36217.37890625,0.0,0.0,2738.0595703125,0.3517942428588867,47826.1484375,2883.387451171875,374.672119140625,0.0,0.0,0.0,0.05768958851695061,0.0,0.0,0.0,0.0,0.0,0.0,8108.3759765625,0.0,0.0,0.0,0.5774214863777161,0.26086652278900146,0.0,0.0,0.0,0.0,12701.2685546875,0.0,354325.40625,0.0,0.0,0.0,0.0,0.0,745.5709838867188,0.0,0.0,0.0,0.0,0.0,0.0,0.21650853753089905,0.0,0.1274506151676178,0.0,0.0,1822266.75,0.0,11.59677505493164,0.0,0.0,73.31822967529297,249647.53125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23181.44140625,0.0,0.0,0.0,0.0,8.799339294433594,11.146574974060059,11.576000213623047,3.8337063789367676,0.0,0.0,0.0,0.0,0.0,0.011837412603199482,7.197263717651367,39884.484375,0.0,601.5242919921875,0.0,0.0,0.0,70791.5078125,17.967491149902344,2.1081395149230957,0.0,0.0,0.0,0.0,0.0,0.0,9551.0078125,22.947444915771484,26.571205139160156,0.0,0.0,0.0,11542.2783203125,519.695556640625,283462.03125,0.0,0.0,39048.71875,0.4098595678806305,0.0,0.0,0.0,0.0,0.0,19289.15625,0.0,16999.677734375,0.0,182313.40625,0.13189548254013062,12.788752555847168,2.810352325439453,2792.112060546875,5967.70556640625,0.0,1.3703210353851318,0.0,0.0,0.0,25128.10546875,60782.328125,0.0,0.0,0.0245857872068882,3282.91455078125,30.59705352783203,0.0
AG,ATG;  28: Antigua > Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.237277030944824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.887285232543945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.54495239257812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.379204750061035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.701828002929688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.60873413085938,0.0,0.0,0.0,0.0,44.25393295288086,0.0
AR,ARG;  32: Argentina > Argentina,0.0,0.0,424465.5625,359.0140686035156,7355.3076171875,22062.6875,2342.278564453125,0.0,4076.183837890625,2525.02734375,573.23828125,0.0,8392.6318359375,1063180.25,475679.15625,0.0,0.0,0.0,0.0,1850.539794921875,5.949375152587891,0.44326165318489075,0.0,13121.98046875,0.0,9096.6552734375,0.0,0.0,76.56978607177734,19318.25,4.233346939086914,0.09086314588785172,26592.32421875,2142.745849609375,1.8439425230026245,105315.046875,0.0,6529.9609375,0.0,0.0,0.0,115106.34375,0.35148850083351135,0.0,11.937592506408691,414335.40625,0.0,0.0,0.02596862055361271,0.0,0.0,0.0,1505.1695556640625,258.8567810058594,2766.35498046875,0.0,180.8004150390625,0.9223254919052124,14787.359375,0.0,0.0,198042.5625,4214.31787109375,658149.75,1282.90234375,1.7847869396209717,5.309785842895508,0.9145589470863342,14115.03515625,342159.0,0.0,0.5061526298522949,0.026587657630443573,359.95526123046875,0.0,1.5022926330566406,0.0,0.0,0.0,0.8318949937820435,0.0,0.0,51728.109375,25980.53125,0.8335065841674805,9254.9921875,84.2960433959961,7797432.5,344825.0625,270.7181396484375,159918.03125,5122.10205078125,0.0,3553.618408203125,0.0,41.34082794189453,0.0,0.0,0.0,0.16811373829841614,289436.9375,5.881774425506592,0.0,0.0,0.0,126009.6015625,24947.162109375,43454.21875,187.67343139648438,66980.7578125,13636.470703125,24611.294921875,0.0,0.0,0.062944196164608,0.0,2794.90966796875,175.42965698242188,0.0,7.641447067260742,18365.19921875,0.0,0.0,74690.8984375,0.0,18072.49609375,0.0,3304.8212890625,2.5786983966827393,0.0,16895.41796875,0.0,185887.46875,1.899254560470581,0.0,104846.3359375,0.0,22836.974609375,8.063292503356934,0.0,405430.5,381564.6875,0.0,16405262.0,1310.195556640625,0.0,0.0,1090.6119384765625,6354.36962890625,7.049744606018066,448227.125,0.0,1528312.75,0.0,22635.21875,29202.71484375,0.0,33085.30078125,52945.0703125,16580.888671875,0.0,1.1968026161193848,2679.8291015625,0.0,0.0,38831.09375,64454.65625,0.0,15004.076171875,9087.1591796875,6481505.5,0.8642855286598206,0.0
AM,ARM;  51: Armenia > Armenia,0.0,0.0,44.97288131713867,79.13743591308594,4.756265640258789,9848.830078125,9827.7470703125,0.0,0.27195507287979126,0.022938955575227737,0.0,0.0,0.2126503735780716,45395.671875,1245.568603515625,218.93492126464844,1522.0574951171875,0.0,0.0,9.930795669555664,0.08086622506380081,2670.360595703125,0.0,0.0,0.3497093915939331,804.00537109375,0.0,0.0,0.0,0.0,0.0,416.0029602050781,4432.9423828125,1623.9149169921875,5.558618545532227,19.770282745361328,0.0,1972.0484619140625,0.0,1.2202869653701782,0.0,0.0,0.0,0.0,0.0,0.2578754425048828,0.0,1.1028103828430176,1568.887939453125,0.23947188258171082,7.310816764831543,1678.049560546875,0.0,199.54879760742188,0.0,0.0,12743.642578125,498.5621337890625,949.0054321289062,0.0,0.0,10824.751953125,0.39379775524139404,46.413002014160156,1241.052978515625,0.7281367778778076,0.0,2.6044435501098633,173.1744384765625,4.1041364669799805,201.29898071289062,0.0,0.05824611708521843,0.1551642119884491,0.0,0.0,0.0,0.0,0.0,0.23752442002296448,0.0,28.292945861816406,4.042323112487793,141.04013061523438,2.1670494079589844,120.43504333496094,0.0,1274.78369140625,322.0185546875,0.04702164977788925,0.0,3728.3935546875,0.0,0.589404284954071,1.1267132759094238,405.3506164550781,0.0,0.0,0.0,8.447793960571289,3201.646240234375,0.0,0.0,8.152234077453613,0.7510919570922852,77.05352783203125,1427.0048828125,50.48487091064453,0.0,106.37869262695312,4546.57373046875,2536.689453125,0.0,0.0,0.0,0.0,0.9272013902664185,0.0,4.512485027313232,0.0,2432.0009765625,0.0,6.801511764526367,20840.46875,338.3704528808594,4.1435112953186035,0.0,318.7976989746094,0.0,0.0,0.4290744364261627,1.0447076559066772,0.0,0.0,0.0,145.8191680908203,0.0,0.03270881995558739,8.072000503540039,0.0,0.08055754005908966,0.0,744.6005859375,0.7761570811271667,15.669757843017578,2.581264019012451,525.706298828125,2.6086292266845703,0.6770862340927124,3540.08837890625,1.2644245624542236,0.0,37.9495849609375,0.0,0.0,8.561332702636719,0.0,86.58016967773438,281.5765686035156,4696.6728515625,0.0,575.0526123046875,0.0,0.0,0.0,3783.84130859375,7907.85205078125,93.32791900634766,1468.0850830078125,3937.349609375,59476.46875,0.0,0.0
AU,AUS;  36: Australia > Australia,0.0,0.0,157269.140625,34252.7421875,0.0,19778.900390625,6263.1474609375,0.0,0.0,1614.1278076171875,14974.67578125,0.0,12161.0732421875,4946196.0,105946.25,0.0,1816.6441650390625,0.0,0.0,207311.828125,0.0,2364.795654296875,0.0,7361.15185546875,0.0,4882.404296875,0.0,0.0,0.0,0.0,0.0,8517.037109375,0.0,2034.579345703125,0.0,277345.5,0.0,2034.4404296875,0.0,74.55196380615234,0.0,0.0,0.0,0.0,0.0,79885.53125,6683.560546875,0.0,838.490966796875,97.6153564453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141768.59375,731.0335693359375,428939.6875,6593.193359375,0.0,6403.36328125,0.0,3992.355712890625,4824.9501953125,0.0,0.0,0.0,265.7459411621094,0.0,0.0,0.0,0.0,0.0,169.77392578125,0.0,0.0,1435.0706787109375,378331.28125,5637.142578125,7058.7373046875,445965.3125,39309.1015625,0.0,14956.98828125,0.0,6044.876953125,0.0,35996.90234375,0.0,0.0,128.6264190673828,202.47802734375,0.0,21546.783203125,736600.625,0.0,0.0,0.0,0.0,20637.68359375,5194.2607421875,20078.052734375,288.5395202636719,247982.75,11338.78125,4923.3505859375,0.0,0.0,0.0,0.0,0.0,2202.147216796875,0.0,0.0,3049.50048828125,0.0,0.0,27563.67578125,0.0,4637.11328125,0.0,0.0,0.0,0.0,2014714.5,225.1396484375,5916.072265625,0.0,0.0,40745.73828125,0.0,7144.5322265625,0.0,0.0,225613.671875,0.0,0.0,10715.5556640625,0.0,1349.61865234375,0.0,2317.731201171875,0.0,0.0,366146.21875,0.0,9726.4716796875,0.0,1934.3192138671875,5151.55908203125,0.0,0.0,923.1100463867188,4153.21826171875,81843.2890625,1124.54296875,0.0,0.0,0.0,2030.703857421875,4058.01025390625,37244.66796875,0.0,3946.583251953125,7897797.0,0.0,0.0
AT,AUT;  40: Austria > Austria,0.0,0.0,6591.8359375,2.434911012649536,0.36099696159362793,6582.349609375,860.3866577148438,0.0,1.3680340051651,708.111083984375,0.0,0.0,0.0,127146.890625,1.037495732307434,915.4932861328125,913.8046264648438,139.12783813476562,0.0,5462.30810546875,3.966921329498291,1304.872314453125,0.0,1.7642772197723389,0.37272968888282776,1832.515869140625,2.1772642135620117,0.0,0.0,0.0,0.0,261.2317810058594,5017.7333984375,307.92742919921875,0.7008382081985474,1.4918386936187744,0.0,159.2893524169922,0.0,0.030370205640792847,0.0,26899.78125,0.0,0.0,0.0,0.0,0.0,0.0,374.64208984375,338.7933349609375,0.0,8.75292682647705,0.0,0.6559586524963379,2.3252224922180176,0.0,24322.23828125,14.084548950195312,189.0774688720703,0.0,273.17657470703125,44460.2578125,0.0,15628.884765625,1034.123046875,0.36018723249435425,22216.27734375,0.9377052187919617,2099.327880859375,0.0,1.892305850982666,1127.775390625,0.044060248881578445,266.34893798828125,0.0,0.0,0.0,0.0,0.0,0.5172513723373413,0.0,29.201143264770508,0.9385132789611816,1.8049285411834717,1430.59765625,1179.7283935546875,240.06402587890625,212252.90625,27809.3515625,0.0,0.0,0.702244222164154,0.0,3006.740234375,4200.60986328125,289.1049499511719,0.0,23.010093688964844,0.0,0.029772041365504265,16596.748046875,0.0,21216.453125,39240.65625,0.0,3.643216848373413,3338.95263671875,2.9445133209228516,0.0,5519.56298828125,193.25912475585938,577.8287963867188,0.0,0.0,0.05568300932645798,0.0,4.999873638153076,0.0,0.0850558876991272,0.0,237.8380584716797,0.0,1004.2431640625,24095.71875,4094.94287109375,622.357177734375,0.0,0.1551676094532013,0.0,0.0,32101.02734375,79.30352783203125,1.5220494270324707,0.0,0.0,39329.97265625,0.0,0.034094423055648804,0.0,0.0,4302.35791015625,0.20039138197898865,22.071231842041016,68097.9296875,0.04249558597803116,621.3643798828125,0.0,1184.2674560546875,0.0,26914.791015625,0.0,0.0,23476.056640625,0.0,0.022273316979408264,0.9429565668106079,0.0,0.0,31.676258087158203,195.58981323242188,43854.953125,0.0,0.0,12.740344047546387,0.0,2634.75439453125,890.7822265625,2.1367571353912354,206.34921264648438,35.14427947998047,278936.28125,0.0,0.0
