POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,OC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG
49303338,14,7,15,78,6.8,6.55,94.0,0.0,7.9,90.3,94.0,39.4,,17603,52.80862,19.05787
49303288,7,3,16,81,4.46,3.96,8.8,1.0,0.9,19.4,47.1,2.7,,16227,52.36329,18.96612
49303252,7,3,15,82,4.81,3.95,14.0,0.0,1.2,26.5,65.8,6.4,,16179,52.04257,18.90145
49303230,6,2,21,77,4.41,3.83,9.5,0.0,1.0,74.7,47.0,3.6,,16176,51.84654,18.86251
49303158,4,8,36,57,4.45,3.9,14.5,0.0,1.0,0.0,0.0,3.1,,16358,51.20468,18.73789
49302960,13,8,20,72,4.01,3.04,37.5,0.0,2.0,0.0,47.3,7.1,,830,49.43868,18.41639
49302928,4,34,50,16,6.42,5.89,36.6,1.0,3.8,12.6,208.0,20.9,,20899,49.15304,18.36708
49302906,8,37,53,10,7.18,6.78,48.8,19.0,3.1,13.0,270.5,37.5,,20818,48.95671,18.3337
49302888,11,39,55,6,7.13,6.81,34.1,8.0,2.6,0.0,475.8,35.4,,20800,48.79603,18.30658
49302874,8,40,52,8,7.03,6.47,14.0,2.0,1.6,66.4,282.0,24.0,,20870,48.67091,18.28559
49302802,1,24,68,8,7.84,7.28,28.2,5.0,2.5,22.4,412.0,32.0,,20834,48.02772,18.18
49302672,5,24,48,29,7.29,6.72,10.8,0.0,1.2,12.2,121.9,18.1,,12657,46.8659,18.00051
49302564,1,11,29,60,5.86,5.04,11.4,0.0,1.4,16.7,51.7,7.3,,12369,45.899281,17.853984
49301830,8,17,59,24,7.95,7.22,10.1,165.0,1.1,0.0,146.4,11.0,,14531,39.30632,17.03042
49284862,19,4,13,83,4.5,3.44,113.9,0.0,3.1,32.9,221.4,13.1,,20466,66.3358499999999,23.539432
49284390,23,8,17,76,4.69,3.74,13.9,0.0,0.9,41.5,45.3,6.8,,8358,62.15782,21.65948
49283386,7,8,27,65,6.55,6.19,12.5,0.0,1.3,58.9,193.8,14.9,,17183,53.23801,19.1191
49283238,5,3,16,81,4.52,3.93,5.5,1.0,0.6,47.4,76.6,3.1,,16206,51.92,18.84773
49283134,10,7,51,42,5.76,5.28,11.7,0.0,1.1,41.0,76.0,4.7,,16890,50.99299,18.66894
49282846,23,19,73,7,5.6,4.77,13.0,1.0,1.3,22.0,60.6,8.4,,20863,48.42282,18.21725
49282824,3,34,54,12,8.03,7.42,19.3,18.0,2.1,43.6,173.5,37.0,,20861,48.22628,18.18512
49282626,9,25,68,7,7.81,7.29,12.2,12.0,1.4,49.0,168.3,18.7,,12668,46.45608,17.9098
49282576,9,30,65,4,5.81,5.37,10.7,1.0,1.4,0.0,102.7,18.1,,12609,46.008592,17.843949
49281996,19,20,72,8,7.45,6.96,37.6,34.0,3.3,21.1,599.5,32.0,,14455,40.80339,17.17236
49281982,27,26,63,11,7.91,7.25,29.6,54.0,2.8,0.0,612.1,29.8,,14365,40.67748,17.15829
49281816,11,33,51,16,7.75,6.98,14.9,115.0,1.4,0.0,292.9,23.5,,14526,39.18174,16.99399
49281798,16,49,47,4,7.96,7.26,8.6,188.0,1.2,0.0,313.1,23.2,,14349,39.01937,16.97681
49264810,21,1,5,94,5.15,4.1,11.8,0.0,0.7,0.0,37.3,1.0,,20393,65.8796629999999,23.256865
49263298,7,1,12,87,5.29,4.68,7.7,0.0,0.9,14.8,68.9,2.3,,16233,52.45679,18.92584
49263232,7,10,11,79,5.6,5.16,52.1,0.0,4.9,31.3,36.4,16.2,,16207,51.86871,18.80832
49263226,15,10,39,51,5.84,5.29,20.0,0.0,1.8,0.0,69.9,8.8,,80072,51.81524,18.79782
49263172,4,6,16,78,5.81,5.21,9.0,1.0,0.9,27.4,79.6,3.0,,16350,51.3339,18.70471
49263114,4,6,33,61,6.63,6.34,11.9,0.0,1.3,44.5,139.5,5.8,,16886,50.81677,18.60736
49263016,5,4,13,83,6.87,6.19,11.3,0.0,1.0,21.0,57.5,5.4,,16813,49.94249,18.44883
49262866,2,28,67,5,6.77,6.13,14.1,2.0,1.6,92.7,244.9,17.0,,20877,48.60346,18.21975
49262836,17,17,52,32,7.53,7.19,44.5,225.0,4.1,23.3,426.0,31.9,,20874,48.33547,18.17578
49262830,2,36,61,3,6.73,6.02,11.4,0.0,1.3,29.1,217.6,21.3,,20873,48.28186,18.16706
49262584,5,20,76,4,6.8,6.39,9.5,1.0,1.1,0.0,92.7,14.5,,12598,46.082093,17.828676
49262574,4,39,55,6,6.22,5.61,35.4,0.0,3.4,20.1,147.6,30.3,,12611,45.992583,17.815673
49262008,14,27,62,11,7.95,7.35,22.3,38.0,2.0,33.1,1003.0,28.2,,14444,40.91313,17.16139
49261840,10,38,54,8,8.46,7.59,8.7,281.0,1.1,0.0,202.7,14.3,,14530,39.39986,16.99408
49261804,25,39,54,7,7.77,7.15,10.1,191.0,1.3,0.0,265.5,19.0,,14347,39.07516,16.95959
49244874,0,0,0,0,4.5,3.83,462.7,2.0,17.5,23.1,731.5,27.0,,20632,66.4488,23.509133
49244502,1,0,0,0,4.25,3.37,325.2,0.0,11.1,44.4,411.0,24.2,,8003,63.15649,21.9735
49244412,4,0,0,0,5.14,4.4,394.3,5.0,21.9,51.7,208.9,37.4,,7160,62.35878,21.65831
49244398,6,8,41,52,4.71,4.04,20.1,0.0,1.7,42.8,68.1,2.1,,8356,62.23465,21.61094
49244394,26,5,14,81,3.98,3.24,47.5,0.0,1.6,13.7,76.7,6.3,,8355,62.1992,21.59751
49243416,4,9,34,57,5.19,4.53,12.1,0.0,1.2,25.9,160.7,4.8,,17207,53.50993,19.11585
49243272,2,7,25,68,5.93,5.4,8.3,0.0,1.0,18.0,49.8,5.7,,17304,52.22732,18.84999
49243264,11,4,16,81,4.36,3.97,10.7,1.0,0.9,67.2,62.9,3.4,,16164,52.15604,18.83581
49243260,5,5,13,82,6.01,5.6,8.6,2.0,0.9,48.2,125.5,4.7,,16215,52.1204,18.82869
49243236,10,7,21,72,6.36,5.77,12.7,0.0,1.4,39.8,62.9,7.6,,16208,51.90653,18.78644
49243210,12,7,8,85,3.62,2.77,111.2,0.0,3.1,14.5,47.6,1.0,,16245,51.67479,18.74124
49243174,4,11,14,75,6.11,5.44,60.2,1.0,4.9,45.2,18.6,26.1,,16349,51.35389,18.6796
49243026,6,13,81,6,5.08,4.76,13.7,1.0,1.2,30.6,210.3,5.4,,16812,50.03362,18.43692
49243008,10,22,53,24,5.06,4.36,14.8,0.0,1.5,0.0,141.6,10.3,,818,49.87323,18.40854
